,value,definition,codesystem,code,iri
5495,Hypoplasia of the iris dilator muscle,Underdevelopment of the dilatator pupillae.,HP,HP:0008345,http://purl.obolibrary.org/obo/HP_0008345
5496,Increased red cell sickling tendency,,HP,HP:0008346,http://purl.obolibrary.org/obo/HP_0008346
5497,Decreased activity of mitochondrial complex IV,"A reduction in the activity of the mitochondrial respiratory chain complex IV, which is part of the electron transport chain in mitochondria.",HP,HP:0008347,http://purl.obolibrary.org/obo/HP_0008347
5498,Decreased circulating IgG2 level,A reduction in immunoglobulin levels of the IgG2 subclass in the blood circulation.,HP,HP:0008348,http://purl.obolibrary.org/obo/HP_0008348
5499,Impaired platelet adhesion,"An abnormality of adhesion of thrombocytes. Normally, platelets adhere to collagen in the vascular subendothelium within seconds of injury via a receptor made up of glycoprotein Ia and IIa and GPVI and to vWF via receptor GPIb/IX/V. The adherent platelets then release granules that lead to platelet activation and aggregation.",HP,HP:0008352,http://purl.obolibrary.org/obo/HP_0008352
5500,Neutral hyperaminoaciduria,"The presence of an abnormally increased concentration of neutral amino acids in the urine. The neutral amino acids are tryptophan, alanine, asparagine, glutamine, histidine, isoleucine, leucine, phenylalanine, serine, threonine, tyrosine and valine.",HP,HP:0008353,http://purl.obolibrary.org/obo/HP_0008353
5501,Factor X activation deficiency,Reduced ability to transform factor X into its activated form factor Xa.,HP,HP:0008354,http://purl.obolibrary.org/obo/HP_0008354
5502,obsolete Combined hyperlipidemia,,HP,HP:0008356,http://purl.obolibrary.org/obo/HP_0008356
5503,Reduced factor XIII activity,Decreased activity of coagulation factor XIII (also known as fibrin stabilizing factor). Activated Factor XIII cross-links fibrin polymers solidifying the clot.,HP,HP:0008357,http://purl.obolibrary.org/obo/HP_0008357
5504,Hyperprolinemia,An increased concentration of proline in the blood.,HP,HP:0008358,http://purl.obolibrary.org/obo/HP_0008358
5505,Neonatal hypoproteinemia,A neonatal decreased concentration of proteins in the blood.,HP,HP:0008360,http://purl.obolibrary.org/obo/HP_0008360
5506,Corticospinal tract pallor,,HP,HP:0008361,http://purl.obolibrary.org/obo/HP_0008361
5507,Aplasia/Hypoplasia of the hallux,Absence or underdevelopment of the big toe.,HP,HP:0008362,http://purl.obolibrary.org/obo/HP_0008362
5508,Aplasia/Hypoplasia of the tarsal bones,Absence or underdevelopment of the tarsal bones.,HP,HP:0008363,http://purl.obolibrary.org/obo/HP_0008363
5509,Abnormality of the calcaneus,"An abnormality of the calcaneus, also known as the heel bone, one of the or heel bone, one of the components of the tarsus of the foot which make up the heel.",HP,HP:0008364,http://purl.obolibrary.org/obo/HP_0008364
5510,Abnormal talus morphology,An abnormality of the talus.,HP,HP:0008365,http://purl.obolibrary.org/obo/HP_0008365
5511,Contractures involving the joints of the feet,,HP,HP:0008366,http://purl.obolibrary.org/obo/HP_0008366
5512,Tarsal synostosis,"Synostosis (bony fusion) involving one or more bones of the tarsus (calcaneus, talus, cuboid, navicular, cuneiiform bones).",HP,HP:0008368,http://purl.obolibrary.org/obo/HP_0008368
5513,Abnormal tarsal ossification,"An abnormality of the formation and mineralization of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",HP,HP:0008369,http://purl.obolibrary.org/obo/HP_0008369
5514,Abnormal metatarsal ossification,"Any abnormal process of ossification of the metatarsal bones, which normally are each ossified from two centers: one for the body, and one for the head (metatarsal II,III,IV, and V) and one for the body and one for the base (metatarsal I). The ossification process begins in the center of the body about the ninth week, and extends toward either extremity. The center for the base of the first metatarsal appears about the third year, and the centers for the heads of the other bones between the fifth and eighth years. They join the bodies between the eighteenth and twentieth years.",HP,HP:0008371,http://purl.obolibrary.org/obo/HP_0008371
5515,Abnormality of vitamin A metabolism,,HP,HP:0008372,http://purl.obolibrary.org/obo/HP_0008372
5516,Puberty and gonadal disorders,,HP,HP:0008373,http://purl.obolibrary.org/obo/HP_0008373
5517,"Nasal, dysarthic speech",,HP,HP:0008376,http://purl.obolibrary.org/obo/HP_0008376
5518,Slow-growing nails,Nails whose growth is slower than normal.,HP,HP:0008383,http://purl.obolibrary.org/obo/HP_0008383
5519,Aplasia/Hypoplasia of the nails,Aplasia or developmental hypoplasia of the nail.,HP,HP:0008386,http://purl.obolibrary.org/obo/HP_0008386
5520,Abnormal toenail morphology,An anomaly of the toenail.,HP,HP:0008388,http://purl.obolibrary.org/obo/HP_0008388
5521,Recurrent loss of toenails and fingernails,"Repeated loss, or shedding, of the nails of the fingers and toes.",HP,HP:0008390,http://purl.obolibrary.org/obo/HP_0008390
5522,Dystrophic fingernails,"The presence of misshapen or partially destroyed nail plates, often with accumulation of soft, yellow keratin between the dystrophic nail plate and nail bed, resulting in elevation of the nail plate.",HP,HP:0008391,http://purl.obolibrary.org/obo/HP_0008391
5523,Subungual hyperkeratosis,A thickening of the stratum corneum in the region beneath the nails.,HP,HP:0008392,http://purl.obolibrary.org/obo/HP_0008392
5524,Congenital curved nail of fourth toe,,HP,HP:0008393,http://purl.obolibrary.org/obo/HP_0008393
5525,Congenital onychodystrophy,,HP,HP:0008394,http://purl.obolibrary.org/obo/HP_0008394
5526,Chronic monilial nail infection,Chronic infection of the nails by Candida species.,HP,HP:0008396,http://purl.obolibrary.org/obo/HP_0008396
5527,Hypoplastic fifth fingernail,"A nail of the fifth finger that is diminished in length and width, i.e., underdeveloped nail of little finger.",HP,HP:0008398,http://purl.obolibrary.org/obo/HP_0008398
5528,Circumungual hyperkeratosis,"A thickening of the stratum corneum, the outer layer of the skin, in the region surrounding the nails.",HP,HP:0008399,http://purl.obolibrary.org/obo/HP_0008399
5529,Onycholysis of distal fingernails,Detachment of the distal fingernails from the nail bed.,HP,HP:0008400,http://purl.obolibrary.org/obo/HP_0008400
5530,Onychogryposis of toenails,Thickened toenails.,HP,HP:0008401,http://purl.obolibrary.org/obo/HP_0008401
5531,Ridged fingernail,"Longitudinal, linear prominences in the fingernail plate.",HP,HP:0008402,http://purl.obolibrary.org/obo/HP_0008402
5532,Nail dystrophy,Onychodystrophy (nail dystrophy) refers to nail changes apart from changes of the color (nail dyschromia) and involves partial or complete disruption of the various keratinous layers of the nail plate.,HP,HP:0008404,http://purl.obolibrary.org/obo/HP_0008404
5533,Hyperconvex thumb nails,,HP,HP:0008407,http://purl.obolibrary.org/obo/HP_0008407
5534,Subungual hyperkeratotic fragments,,HP,HP:0008410,http://purl.obolibrary.org/obo/HP_0008410
5535,Lumbar kyphosis in infancy,,HP,HP:0008414,http://purl.obolibrary.org/obo/HP_0008414
5536,Six lumbar vertebrae,,HP,HP:0008416,http://purl.obolibrary.org/obo/HP_0008416
5537,Vertebral hypoplasia,"Small, underdeveloped vertebral bodies.",HP,HP:0008417,http://purl.obolibrary.org/obo/HP_0008417
5538,Squared-off platyspondyly,,HP,HP:0008418,http://purl.obolibrary.org/obo/HP_0008418
5539,Intervertebral disc degeneration,The presence of degenerative changes of intervertebral disk.,HP,HP:0008419,http://purl.obolibrary.org/obo/HP_0008419
5540,Punctate vertebral calcifications,The presence of punctiform calcification of the bone of the vertebral bodies.,HP,HP:0008420,http://purl.obolibrary.org/obo/HP_0008420
5541,Tall lumbar vertebral bodies,,HP,HP:0008421,http://purl.obolibrary.org/obo/HP_0008421
5542,Vertebral wedging,An abnormal shape of the vertebral bodies whereby the vertebral bodies are thick on one side and taper to a thin edge at the other.,HP,HP:0008422,http://purl.obolibrary.org/obo/HP_0008422
5543,Spinal dysplasia,The presence of developmental dysplasia of the vertebral column.,HP,HP:0008423,http://purl.obolibrary.org/obo/HP_0008423
5544,Hypoplastic 5th lumbar vertebrae,,HP,HP:0008424,http://purl.obolibrary.org/obo/HP_0008424
5545,Cuboid-shaped thoracolumbar vertebral bodies,,HP,HP:0008425,http://purl.obolibrary.org/obo/HP_0008425
5546,Vertebral clefting,Schisis (cleft or cleavage) of vertebral bodies.,HP,HP:0008428,http://purl.obolibrary.org/obo/HP_0008428
5547,Anterior beaking of lumbar vertebrae,Anterior tongue-like protrusions of the vertebral bodies of the lumbar spine.,HP,HP:0008430,http://purl.obolibrary.org/obo/HP_0008430
5548,Anterior wedging of L1,An abnormality of the shape of the lumbar vertebra L1 such that it is wedge-shaped (narrow towards the front).,HP,HP:0008432,http://purl.obolibrary.org/obo/HP_0008432
5549,Reversed usual vertebral column curves,,HP,HP:0008433,http://purl.obolibrary.org/obo/HP_0008433
5550,Hypoplastic cervical vertebrae,,HP,HP:0008434,http://purl.obolibrary.org/obo/HP_0008434
5551,Absent in utero ossification of vertebral bodies,,HP,HP:0008435,http://purl.obolibrary.org/obo/HP_0008435
5552,Absent/hypoplastic coccyx,,HP,HP:0008436,http://purl.obolibrary.org/obo/HP_0008436
5553,Bifid thoracic vertebrae,,HP,HP:0008437,http://purl.obolibrary.org/obo/HP_0008437
5554,Vertebral arch anomaly,"A morphological abnormality of the vertebral arch, i.e., of the posterior part of a vertebra.",HP,HP:0008438,http://purl.obolibrary.org/obo/HP_0008438
5555,Lumbar hemivertebrae,Absence of one half of the vertebral body in the lumbar spine.,HP,HP:0008439,http://purl.obolibrary.org/obo/HP_0008439
5556,C1-C2 vertebral abnormality,Any abnormality of the atlas and the axis.,HP,HP:0008440,http://purl.obolibrary.org/obo/HP_0008440
5557,Herniation of intervertebral nuclei,The presence of one or more herniated nucleus pulposus of intervertebral disk.,HP,HP:0008441,http://purl.obolibrary.org/obo/HP_0008441
5558,Vertebral hyperostosis,Excessive growth of the bones of the vertebral bodies.,HP,HP:0008442,http://purl.obolibrary.org/obo/HP_0008442
5559,Spinal deformities,,HP,HP:0008443,http://purl.obolibrary.org/obo/HP_0008443
5560,Posterior wedging of vertebral bodies,"An abnormality of the shape of vertebrae, such that they are wedge-shaped (narrow towards the back).",HP,HP:0008444,http://purl.obolibrary.org/obo/HP_0008444
5561,Cervical spinal canal stenosis,An abnormal narrowing of the cervical spinal canal.,HP,HP:0008445,http://purl.obolibrary.org/obo/HP_0008445
5562,Hypoplastic coccygeal vertebrae,,HP,HP:0008447,http://purl.obolibrary.org/obo/HP_0008447
5563,Progressive cervical vertebral spine fusion,,HP,HP:0008449,http://purl.obolibrary.org/obo/HP_0008449
5564,Narrow vertebral interpedicular distance,"A reduction of the distance between vertebral pedicles, which are the two short, thick processes, which project backward, one on either side, from the upper part of the vertebral body, at the junction of its posterior and lateral surfaces.",HP,HP:0008450,http://purl.obolibrary.org/obo/HP_0008450
5565,Posterior vertebral hypoplasia,,HP,HP:0008451,http://purl.obolibrary.org/obo/HP_0008451
5566,Wafer-thin platyspondyly,,HP,HP:0008452,http://purl.obolibrary.org/obo/HP_0008452
5567,Congenital kyphoscoliosis,,HP,HP:0008453,http://purl.obolibrary.org/obo/HP_0008453
5568,Lumbar kyphosis,Over curvature of the lumbar region.,HP,HP:0008454,http://purl.obolibrary.org/obo/HP_0008454
5569,Dysplastic sacrum,"A developmental defect of the sacrum characterized by partial or disordered development of the sacrum in which portions of the sacrum, which normally is formed by fusion of five sacral vertebrae S1-S5, fail to form or fail to form normally.",HP,HP:0008455,http://purl.obolibrary.org/obo/HP_0008455
5570,C2-C3 subluxation,A partial dislocation of the intervertebral joint between the second and third cervical vertebrae.,HP,HP:0008456,http://purl.obolibrary.org/obo/HP_0008456
5571,Caudal interpedicular narrowing,"Narrowing (becoming gradually narrower) of the distance between vertebral pedicles that gets progressively more severe towards to caudal (lower) end of the vertebral column. Note that normally, the interpedicular distances get progressively wider as one proceeds down the spine.",HP,HP:0008457,http://purl.obolibrary.org/obo/HP_0008457
5572,Progressive congenital scoliosis,A progressive form of scoliosis with congenital onset.,HP,HP:0008458,http://purl.obolibrary.org/obo/HP_0008458
5573,Cervical vertebral agenesis,Agenesis of one or more vertebrae of the cervical vertebral column.,HP,HP:0008459,http://purl.obolibrary.org/obo/HP_0008459
5574,Hypoplastic spinal processes,,HP,HP:0008460,http://purl.obolibrary.org/obo/HP_0008460
5575,Cervical vertebral facet hypoplasia,,HP,HP:0008461,http://purl.obolibrary.org/obo/HP_0008461
5576,Cervical instability,,HP,HP:0008462,http://purl.obolibrary.org/obo/HP_0008462
5577,Central vertebral hypoplasia,,HP,HP:0008463,http://purl.obolibrary.org/obo/HP_0008463
5578,Absent spinous processes of lower thoracic and lumbar vertebrae,,HP,HP:0008464,http://purl.obolibrary.org/obo/HP_0008464
5579,Absent vertebra,A developmental defect characterized by agenesis of one or more vertebral bodies.,HP,HP:0008465,http://purl.obolibrary.org/obo/HP_0008465
5580,Thoracic hemivertebrae,Absence of one half of the vertebral body in the thoracic spine.,HP,HP:0008467,http://purl.obolibrary.org/obo/HP_0008467
5581,Abnormal sacral segmentation,An abnormality related to a defect of vertebral separation of sacral vertebrae during development.,HP,HP:0008468,http://purl.obolibrary.org/obo/HP_0008468
5582,Cervical vertebral dysplasia,Dysplasia of the cervical vertebral column.,HP,HP:0008469,http://purl.obolibrary.org/obo/HP_0008469
5583,Lower thoracic interpediculate narrowness,A reduction of the distance between the lower thoracic vertebral pedicles.,HP,HP:0008470,http://purl.obolibrary.org/obo/HP_0008470
5584,Prominent protruding coccyx,,HP,HP:0008472,http://purl.obolibrary.org/obo/HP_0008472
5585,Narrow anterio-posterior vertebral body diameter,An abnormal reduction of the anterioposterior diameter of the vertebral body.,HP,HP:0008473,http://purl.obolibrary.org/obo/HP_0008473
5586,Hypoplastic sacral vertebrae,,HP,HP:0008475,http://purl.obolibrary.org/obo/HP_0008475
5587,Irregular sclerotic endplates,,HP,HP:0008476,http://purl.obolibrary.org/obo/HP_0008476
5588,Poorly ossified cervical vertebrae,"Decreased ossification of the cervical vertebral bodies, i.e., of the Cervical vertebrae set.",HP,HP:0008477,http://purl.obolibrary.org/obo/HP_0008477
5589,Scheuermann-like vertebral changes,,HP,HP:0008478,http://purl.obolibrary.org/obo/HP_0008478
5590,Hypoplastic vertebral bodies,,HP,HP:0008479,http://purl.obolibrary.org/obo/HP_0008479
5591,Cervical spondylosis,"The presence of arthrosis, i.e., of degenerative joint disease, affecting the cervical vertebral column.",HP,HP:0008480,http://purl.obolibrary.org/obo/HP_0008480
